bay_id,train_id,scheduled_start,scheduled_end,cleaning_type,manpower_required,occupied
CL_04,SET_021,2025-09-01T22:00:00,2025-09-01T22:10:00,outside_cleaning,1,yes
CL_01,SET_002,2025-09-02T02:00:00,2025-09-02T05:00:00,heavy,6,yes
CL_03,SET_025,2025-09-02T02:00:00,2025-09-02T05:00:00,heavy,6,yes
CL_02,SET_019,2025-09-02T02:00:00,2025-09-02T02:20:00,daily,2,yes
CL_03,SET_017,2025-09-01T23:00:00,2025-09-02T02:00:00,heavy,6,yes
CL_02,SET_022,2025-09-02T01:00:00,2025-09-02T01:20:00,daily,2,yes
CL_04,SET_010,2025-09-02T02:00:00,2025-09-02T02:10:00,outside_cleaning,1,yes
CL_04,SET_015,2025-09-01T21:00:00,2025-09-01T21:20:00,daily,2,yes
CL_05,SET_003,2025-09-01T21:00:00,2025-09-02T00:00:00,heavy,6,yes
CL_04,SET_012,2025-09-02T02:00:00,2025-09-02T02:10:00,outside_cleaning,1,yes
CL_03,SET_009,2025-09-02T01:00:00,2025-09-02T01:10:00,outside_cleaning,1,yes
CL_02,SET_007,2025-09-01T21:00:00,2025-09-02T00:00:00,heavy,6,yes
